C:\Users\emilbp\PhD\Projects\graphene-production\data\derived_data\xps\20170920_Gr-NH2_for_Radisurf\GrNH2.vms
Survey/2
	Characteristic Energy eV	1486.69	Acquisition Time s	0.2
KE_Survey/2	BE_Survey/2	CPS_Survey/2	Background_Survey/2
512.706	973.984	65265	65265
513.206	973.484	64565	64565
513.706	972.984	62645	62645
514.206	972.484	62865	62865
514.706	971.984	61360	61360
515.206	971.484	60145	60145
515.706	970.984	58920	58920
516.206	970.484	57475	57475
516.706	969.984	56920	56920
517.206	969.484	56010	56010
517.706	968.984	53485	53485
518.206	968.484	52040	52040
518.706	967.984	50835	50835
519.206	967.484	49730	49730
519.706	966.984	49025	49025
520.206	966.484	46260	46260
520.706	965.984	45480	45480
521.206	965.484	44375	44375
521.706	964.984	43675	43675
522.206	964.484	43145	43145
522.706	963.984	41880	41880
523.206	963.484	41725	41725
523.706	962.984	41420	41420
524.206	962.484	42095	42095
524.706	961.984	42250	42250
525.206	961.484	40830	40830
525.706	960.984	40270	40270
526.206	960.484	40615	40615
526.706	959.984	40510	40510
527.206	959.484	40870	40870
527.706	958.984	40265	40265
528.206	958.484	40750	40750
528.706	957.984	40930	40930
529.206	957.484	41220	41220
529.706	956.984	40890	40890
530.206	956.484	40590	40590
530.706	955.984	39830	39830
531.206	955.484	40260	40260
531.706	954.984	40395	40395
532.206	954.484	40445	40445
532.706	953.984	40655	40655
533.206	953.484	40185	40185
533.706	952.984	40305	40305
534.206	952.484	40380	40380
534.706	951.984	40745	40745
535.206	951.484	40665	40665
535.706	950.984	40540	40540
536.206	950.484	39560	39560
536.706	949.984	40005	40005
537.206	949.484	40170	40170
537.706	948.984	40420	40420
538.206	948.484	40770	40770
538.706	947.984	40125	40125
539.206	947.484	40710	40710
539.706	946.984	40550	40550
540.206	946.484	40600	40600
540.706	945.984	40645	40645
541.206	945.484	40985	40985
541.706	944.984	40615	40615
542.206	944.484	40420	40420
542.706	943.984	40695	40695
543.206	943.484	40285	40285
543.706	942.984	40970	40970
544.206	942.484	40610	40610
544.706	941.984	40070	40070
545.206	941.484	40435	40435
545.706	940.984	40980	40980
546.206	940.484	40905	40905
546.706	939.984	39735	39735
547.206	939.484	39875	39875
547.706	938.984	41720	41720
548.206	938.484	41180	41180
548.706	937.984	41495	41495
549.206	937.484	41595	41595
549.706	936.984	40645	40645
550.206	936.484	41140	41140
550.706	935.984	41085	41085
551.206	935.484	40795	40795
551.706	934.984	41155	41155
