Created as New Dataset;Sample 1001 By Administrator Date fredag, september 22 2017
cm-1;%T
2607,00;83,03
2606,00;83,03
2605,00;83,04
2604,00;83,04
2603,00;83,05
2602,00;83,05
2601,00;83,06
2600,00;83,06
2599,00;83,06
2598,00;83,06
2597,00;83,06
2596,00;83,06
2595,00;83,06
2594,00;83,07
2593,00;83,07
2592,00;83,08
2591,00;83,08
2590,00;83,09
2589,00;83,09
2588,00;83,09
2587,00;83,09
2586,00;83,08
2585,00;83,08
2584,00;83,08
2583,00;83,08
2582,00;83,09
2581,00;83,10
2580,00;83,10
2579,00;83,10
2578,00;83,10
2577,00;83,10
2576,00;83,11
2575,00;83,11
2574,00;83,11
2573,00;83,12
2572,00;83,11
2571,00;83,11
2570,00;83,11
2569,00;83,10
2568,00;83,10
2567,00;83,10
2566,00;83,10
2565,00;83,10
2564,00;83,10
2563,00;83,11
2562,00;83,11
2561,00;83,11
2560,00;83,11
2559,00;83,11
2558,00;83,12
2557,00;83,12
2556,00;83,13
2555,00;83,13
2554,00;83,13
2553,00;83,13
2552,00;83,13
2551,00;83,13
2550,00;83,13
2549,00;83,13
2548,00;83,13
2547,00;83,13
2546,00;83,12
2545,00;83,11
2544,00;83,11
2543,00;83,11
2542,00;83,11
2541,00;83,11
2540,00;83,11
2539,00;83,12
2538,00;83,12
2537,00;83,12
2536,00;83,12
2535,00;83,12
2534,00;83,12
2533,00;83,12
2532,00;83,13
2531,00;83,13
2530,00;83,13
2529,00;83,12
2528,00;83,12
2527,00;83,11
2526,00;83,10
2525,00;83,10
2524,00;83,10
2523,00;83,10
2522,00;83,11
2521,00;83,11
2520,00;83,11
2519,00;83,11
2518,00;83,11
2517,00;83,10
2516,00;83,11
2515,00;83,12
2514,00;83,13
2513,00;83,13
2512,00;83,13
2511,00;83,12
2510,00;83,11
2509,00;83,10
2508,00;83,10
2507,00;83,09
2506,00;83,09
2505,00;83,09
2504,00;83,10
2503,00;83,11
2502,00;83,11
2501,00;83,11
2500,00;83,10
